"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"option.video_filter.pad_square","pad square (add borders to square)","pad square (поля до квадрата)","pad square (поля до квадрата)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)","pad square (add borders to square)"
"option.video_filter.drawtext","drawtext (text overlay)","drawtext (текст поверх відео)","drawtext (текст поверх видео)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)","drawtext (text overlay)"
"option.audio_filter.none","None (no extra audio filter)","Немає (без дод. аудіофільтра)","Нет (без доп. аудиофильтра)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)","None (no extra audio filter)"
"option.audio_filter.loudnorm","loudnorm (broadcast loudness normalize)","loudnorm (нормалізація гучності)","loudnorm (нормализация громкости)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)","loudnorm (broadcast loudness normalize)"
"option.audio_filter.highpass","highpass (remove low rumble)","highpass (прибрати низький гул)","highpass (убрать низкий гул)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)","highpass (remove low rumble)"
"option.audio_filter.lowpass","lowpass (remove high hiss)","lowpass (прибрати високе шипіння)","lowpass (убрать высокое шипение)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)","lowpass (remove high hiss)"
"option.audio_filter.acompressor","acompressor (smooth dynamics)","acompressor (стиснути динаміку)","acompressor (сжать динамику)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)","acompressor (smooth dynamics)"
"option.audio_filter.afade","afade (fade in)","afade (плавна поява)","afade (плавное появление)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)","afade (fade in)"
"option.audio_filter.silenceremove","silenceremove (trim leading silence)","silenceremove (прибрати тишу на початку)","silenceremove (убрать тишину в начале)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)","silenceremove (trim leading silence)"
"scheme.webm_web","WebM for web","WebM для сайту","WebM для сайта","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web","WebM for web"
"scheme.gif_video","GIF from video","GIF з відео","GIF из видео","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video","GIF from video"
"scheme.mp3_audio","MP3 audio","MP3 аудіо","MP3 аудио","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio","MP3 audio"
"scheme.wav_audio","WAV audio","WAV аудіо","WAV аудио","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio","WAV audio"
